"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","gamma","alpha","f_l","f_n","f_a","obsprob","lambda_l","lambda_n","lambda_a","kappa","Tf","c","T_min_l","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLik"
2000,1.16e-07,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.333333333333333,1660,0.99581263974089,0.997297287319596,0.992561298656575,1e-12,0.03700798407263,0.000744396042013,1.14848528620471,0.000275506564155,4,0.4,6.49588256531704,72.5723081991844,952.646750401004,8.28917956042369,666209.59176162,0.57576059944004,27513.0525353535,1.79406554986979,158.657461165675,52.7424260643587,2141.23851010095,42.3879426266979,0.999946460733632,5.14e-05,-9249.97245681238
2000,1.23079468471068,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.333333333333333,1660,0.068236293404754,0.95842421459182,0.958221449842794,0.288400630664717,0.018111703182779,0.001291936915812,33.6599594660578,2.4e-05,4,0.4,16.8822072272405,1799.76118156659,272.721006322452,3.32227808152687,33.5005027551617,9.69120561264736,49.9548909475054,669.741584380395,15.626875255277,1001.87330229875,1484.52255657547,200.293555072979,0.628346870706545,0.369338764217108,-9178.72369761863
2000,1.38404690853547,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.333333333333333,1660,0.072434200451469,0.94557855663045,0.951404661797392,0.288400630664717,0.018111703182779,0.001291936915812,33.6599594660578,2.44e-05,4,0.4,17.0295741863516,1353.24456615467,184.798051213164,3.83154357378886,51.5064341736047,9.96281845827443,58.3739570906402,608.155369838782,7.52229757740329,280.728355444474,3264.86431124429,188.320746498345,0.943312983970697,0.055644632546187,-9166.42546277227
2000,1.43017863925395,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.333333333333333,1660,0.074629029159349,0.941756874002602,0.939583839641089,0.288400630664717,0.018111703182779,0.001291936915812,33.6599594660578,2.39e-05,4,0.4,17.0800851231672,1532.01746596633,128.866913917067,3.77297038157383,80.6686297420429,7.64524830828181,64.4242499372903,461.935995705785,9.04595913752743,308.247627934311,2960.48298354282,235.840327284683,0.928326343353458,0.070753089611727,-9164.69756451957
2000,1.61017533598334,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.333333333333333,1660,0.041093306935816,0.980764645335275,0.997203479775508,0.534990909103001,0.064675118274201,0.001140329105275,30.949660492214,2.72e-05,4,0.4,13.0471183688609,8697.44911616616,1630.0733989145,0.546531993152633,15.4957341636296,362.954982960768,5.28959158384789,230.166516769011,187.274567900823,656.267359608845,1905.38193794212,56.4466557548196,0.89721604209407,0.093610565397048,-9180.40871988115
2000,1.6780948476304,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.333333333333333,1660,0.041919282405226,0.983582758578354,0.996154921785045,0.534990909103001,0.064675118274201,0.001140329105275,30.949660492214,2.63e-05,4,0.4,13.2090546032636,3308.35180925514,1637.0358120825,0.414092363364333,21.0390477803778,212.593895411615,22.0332239066757,277.495523822392,95.5251199127957,922.600194936369,2647.82963601324,130.199137097868,0.918626865424166,0.071507578070806,-9176.07737683614
2000,1.78894138897799,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.333333333333333,1660,0.448824461995896,0.99734981100277,0.993008452172119,0.706586726635864,0.004767771953562,0.000480231160559,34.6794736993015,9.66e-06,4,0.4,17.152363904307,9565.40763470921,145.094320896184,1.07792363974847,715.999806766206,109.406011534866,45.72873844038,5.76978142525379,12.7356208590393,65.3935378566044,96126.8733024199,8316.87352376306,0.000114185355549,0.995289443545052,-9160.68315760242
2000,1.90777340325026,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.333333333333333,1660,0.057459945024579,0.992174793587625,0.999908505735347,0.733064806406269,0.060371094933872,0.001003601184691,84.9834477808003,8.47999999999999e-06,4,0.4,16.7003652098494,18235.438985789,205.142759306451,0.027026014702109,415.611931685457,67.1036291240962,45.9891883999448,4.24394196163304,103.609532768353,0.000588758769288,557547.045159175,5574.82908846253,6.94e-05,0.999914038213156,-9167.4166199707
2000,1.9881340038457,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.333333333333333,1660,0.191896258013602,0.969454391962007,0.977361143328148,0.814719560904081,0.009043058565862,0.000752132945905,35.3438432688178,1.44e-05,4,0.4,17.1683004772252,3356.8707045444,4279.9855851544,18.8023630282788,229.459353954124,113.208224216764,135.360097949223,0.018191049113779,30.4452349240401,103.315894692428,71290.5683721323,928.937285274978,0.001109265104851,0.996048782730542,-9168.0931703978
2000,2.08462708850708,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.333333333333333,1660,0.462424292018833,0.997150000824141,0.992577931378783,0.706586726635864,0.004767771953562,0.000480231160559,34.6794736993015,9.62999999999999e-06,4,0.4,17.0586856979718,7630.49258570311,153.011262279991,1.58195109622591,639.961562094387,216.532329910085,47.0275759745888,5.56125863556812,12.9459892965396,44.8122783970878,117862.704603575,4718.02810244885,0.000135104693144,0.994574688707067,-9155.98150361864
